,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
117,"Keep Cold",Numcha,8827,https://open.spotify.com/track/3IgTrdtmSqAWsFmXTEftOv
118,"ผ่านตา (Everyday)","Three Man Down",8757,https://open.spotify.com/track/1rDbnvj4dqnlegBHe3w4zf
119,"After School",Weeekly,8748,https://open.spotify.com/track/52CBUrIdyf8tbZaUY9iawE
120,ลงใจ,BOWKYLION,8610,https://open.spotify.com/track/69ubzIqMB8QgoWZiazDrQ3
121,"เมษา (MAYSA) feat. BLACKSHEEP","fellow fellow",8564,https://open.spotify.com/track/0b5v0oPB4g5LDpXvEeZ28L
122,"10,000 Hours (with Justin Bieber)","Dan + Shay",8528,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
123,ถามคำ,UrboyTJ,8523,https://open.spotify.com/track/3sLTOt7ZMwEWEB7YdLaeZS
124,"No matter",EXO,8494,https://open.spotify.com/track/5fumVsa0IxAEJvHHu2F2k5
125,ต้องชอบแค่ไหน,Pretzelle,8312,https://open.spotify.com/track/5MZwRe4ZpXTuhpM8hhhsv8
126,"2 soon",keshi,8301,https://open.spotify.com/track/5SlU0Yhi51jobhEiGE4xDv
127,Psycho,"Red Velvet",8275,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK
128,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,8239,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
129,"Baby Blue Love",TWICE,8216,https://open.spotify.com/track/7Jzo3IObpANz6giPTUrihB
130,"Dick (feat. Doja Cat)",StarBoi3,8073,https://open.spotify.com/track/3nY8AqaMNNHHLYV4380ol0
131,"Rueang Ching",SIN,7839,https://open.spotify.com/track/7N1mCWyLnYXfi3AXagJCNo
132,เงา,Wanyai,7758,https://open.spotify.com/track/6J2aXt8hmVKpBXMlfO1EsC
133,"Film out",BTS,7752,https://open.spotify.com/track/3UHPGOkUcE4hE7sqBF4Snt
